Counter,Value
PAPI_L1_ICM,3268
PAPI_L2_DCM,37671282
PAPI_L1_DCM,244745745
PAPI_L2_ICM,2589
PAPI_L1_TCM,244749013
PAPI_L2_TCM,37673871
PAPI_L3_TCM,68716
PAPI_CA_SNP,34351638
PAPI_CA_SHR,28715134
PAPI_CA_CLN,26557
PAPI_CA_ITV,1518184933
PAPI_L3_LDM,37671282
PAPI_TLB_DM,3268
PAPI_TLB_IM,2589
PAPI_L1_LDM,3268
PAPI_L1_STM,2589
PAPI_L2_LDM,37673871
PAPI_L2_STM,555851125
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,0
PAPI_BR_PRC,0
PAPI_TOT_INS,140720559540048
PAPI_LD_INS,139882585089648
PAPI_SR_INS,722
PAPI_BR_INS,139882582978460
PAPI_RES_STL,0
PAPI_TOT_CYC,139882584520640
PAPI_LST_INS,29859424832
PAPI_L2_DCA,139882584473992
PAPI_L3_DCA,2
PAPI_L2_DCR,-9223372036854775794
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,0
PAPI_L3_ICA,0
PAPI_L2_ICR,139882584518368
PAPI_L3_ICR,139882584518848
PAPI_L2_TCA,139882584493696
PAPI_L3_TCA,139882584469144
PAPI_L2_TCR,0
PAPI_L3_TCR,139882584514176
PAPI_L2_TCW,139882584512832
PAPI_L3_TCW,139882582965555
PAPI_SP_OPS,139882584518848
PAPI_DP_OPS,140720559540048
PAPI_VEC_SP,139882584518848
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
