Counter,Value
PAPI_L1_ICM,55570
PAPI_L2_DCM,94272297109
PAPI_L1_DCM,50293692198
PAPI_L2_ICM,54397
PAPI_L1_TCM,50293747768
PAPI_L2_TCM,94272351506
PAPI_L3_TCM,4923621812
PAPI_CA_SNP,54071502615
PAPI_CA_SHR,62053315239
PAPI_CA_CLN,7962210
PAPI_CA_ITV,189153223106
PAPI_L3_LDM,94272297109
PAPI_TLB_DM,55570
PAPI_TLB_IM,54397
PAPI_L1_LDM,55570
PAPI_L1_STM,54397
PAPI_L2_LDM,94272351506
PAPI_L2_STM,343544813250
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,0
PAPI_BR_PRC,0
PAPI_TOT_INS,140720912258320
PAPI_LD_INS,140268338869872
PAPI_SR_INS,722
PAPI_BR_INS,140268336758684
PAPI_RES_STL,0
PAPI_TOT_CYC,140268338300864
PAPI_LST_INS,29066148416
PAPI_L2_DCA,140268338254216
PAPI_L3_DCA,2
PAPI_L2_DCR,-9223372036854775794
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,0
PAPI_L3_ICA,0
PAPI_L2_ICR,140268338298592
PAPI_L3_ICR,140268338299072
PAPI_L2_TCA,140268338273920
PAPI_L3_TCA,140268338249368
PAPI_L2_TCR,0
PAPI_L3_TCR,140268338294400
PAPI_L2_TCW,140268338293056
PAPI_L3_TCW,140268336745779
PAPI_SP_OPS,140268338299072
PAPI_DP_OPS,140720912258320
PAPI_VEC_SP,140268338299072
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
