Counter,Value
PAPI_L1_ICM,22737
PAPI_L2_DCM,19056172552
PAPI_L1_DCM,17636230442
PAPI_L2_ICM,21805
PAPI_L1_TCM,17636253179
PAPI_L2_TCM,19056194357
PAPI_L3_TCM,1644284112
PAPI_CA_SNP,9598638574
PAPI_CA_SHR,11787879203
PAPI_CA_CLN,2651946
PAPI_CA_ITV,74618431079
PAPI_L3_LDM,19056172552
PAPI_TLB_DM,22737
PAPI_TLB_IM,21805
PAPI_L1_LDM,22737
PAPI_L1_STM,21805
PAPI_L2_LDM,19056194357
PAPI_L2_STM,115334626000
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,139773235233392
PAPI_BR_NTK,139773235234779
PAPI_BR_MSP,139773234418872
PAPI_BR_PRC,139773235830740
PAPI_TOT_INS,140720543413552
PAPI_LD_INS,139773237278320
PAPI_SR_INS,722
PAPI_BR_INS,139773235167132
PAPI_RES_STL,2
PAPI_TOT_CYC,-9223372036854775794
PAPI_LST_INS,0
PAPI_L2_DCA,0
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,139773236706784
PAPI_L2_ICH,139773236707040
PAPI_L2_ICA,139773236707264
PAPI_L3_ICA,-2130236799665442560
PAPI_L2_ICR,139773236707040
PAPI_L3_ICR,139773236707520
PAPI_L2_TCA,139773236682368
PAPI_L3_TCA,139773236657816
PAPI_L2_TCR,0
PAPI_L3_TCR,139773236702848
PAPI_L2_TCW,139773236701504
PAPI_L3_TCW,139773235154227
PAPI_SP_OPS,139773236707520
PAPI_DP_OPS,140720543413552
PAPI_VEC_SP,139773236707520
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
