Counter,Value
PAPI_L1_ICM,6159
PAPI_L2_DCM,1039265512
PAPI_L1_DCM,3515069772
PAPI_L2_ICM,5368
PAPI_L1_TCM,3515075931
PAPI_L2_TCM,1039270880
PAPI_L3_TCM,150730027
PAPI_CA_SNP,794653656
PAPI_CA_SHR,732125043
PAPI_CA_CLN,290339
PAPI_CA_ITV,19241418916
PAPI_L3_LDM,1039265512
PAPI_TLB_DM,6159
PAPI_TLB_IM,5368
PAPI_L1_LDM,6159
PAPI_L1_STM,5368
PAPI_L2_LDM,1039270880
PAPI_L2_STM,9428574125
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,0
PAPI_BR_PRC,0
PAPI_TOT_INS,140723630164368
PAPI_LD_INS,140029980366448
PAPI_SR_INS,722
PAPI_BR_INS,140029978255260
PAPI_RES_STL,0
PAPI_TOT_CYC,140029979797440
PAPI_LST_INS,26930846272
PAPI_L2_DCA,140029979750792
PAPI_L3_DCA,2
PAPI_L2_DCR,-9223372036854775794
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,0
PAPI_L3_ICA,0
PAPI_L2_ICR,140029979795168
PAPI_L3_ICR,140029979795648
PAPI_L2_TCA,140029979770496
PAPI_L3_TCA,140029979745944
PAPI_L2_TCR,0
PAPI_L3_TCR,140029979790976
PAPI_L2_TCW,140029979789632
PAPI_L3_TCW,140029978242355
PAPI_SP_OPS,140029979795648
PAPI_DP_OPS,140723630164368
PAPI_VEC_SP,140029979795648
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
