Counter,Value
PAPI_L1_ICM,16318
PAPI_L2_DCM,2626532270
PAPI_L1_DCM,9069918587
PAPI_L2_ICM,15414
PAPI_L1_TCM,9069934905
PAPI_L2_TCM,2626547684
PAPI_L3_TCM,686253124
PAPI_CA_SNP,2187836096
PAPI_CA_SHR,1857538115
PAPI_CA_CLN,942455
PAPI_CA_ITV,40879204640
PAPI_L3_LDM,2626532270
PAPI_TLB_DM,16318
PAPI_TLB_IM,15414
PAPI_L1_LDM,16318
PAPI_L1_STM,15414
PAPI_L2_LDM,2626547684
PAPI_L2_STM,52655510000
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,2
PAPI_BR_CN,-9223372036854775794
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,0
PAPI_BR_PRC,0
PAPI_TOT_INS,0
PAPI_LD_INS,0
PAPI_SR_INS,2
PAPI_BR_INS,-9223372036854775794
PAPI_RES_STL,0
PAPI_TOT_CYC,0
PAPI_LST_INS,0
PAPI_L2_DCA,0
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,140293195311520
PAPI_L2_DCW,140293195312736
PAPI_L3_DCW,140293195312608
PAPI_L2_ICH,140293195312864
PAPI_L2_ICA,140293195313088
PAPI_L3_ICA,-7384178580248911360
PAPI_L2_ICR,140293195312864
PAPI_L3_ICR,140293195313344
PAPI_L2_TCA,140293195288192
PAPI_L3_TCA,140293195263640
PAPI_L2_TCR,0
PAPI_L3_TCR,140293195308672
PAPI_L2_TCW,140293195307328
PAPI_L3_TCW,140293193760051
PAPI_SP_OPS,140293195313344
PAPI_DP_OPS,140730225459456
PAPI_VEC_SP,140293195313344
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
