Counter,Value
PAPI_L1_ICM,47228
PAPI_L2_DCM,42408979684
PAPI_L1_DCM,30908021282
PAPI_L2_ICM,46268
PAPI_L1_TCM,30908068510
PAPI_L2_TCM,42409025952
PAPI_L3_TCM,2900871450
PAPI_CA_SNP,20971283968
PAPI_CA_SHR,26283221335
PAPI_CA_CLN,5441979
PAPI_CA_ITV,123147102142
PAPI_L3_LDM,42408979684
PAPI_TLB_DM,47228
PAPI_TLB_IM,46268
PAPI_L1_LDM,47228
PAPI_L1_STM,46268
PAPI_L2_LDM,42409025952
PAPI_L2_STM,206163209875
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,139875995870392
PAPI_BR_PRC,139875997282260
PAPI_TOT_INS,140735075718048
PAPI_LD_INS,139875998729840
PAPI_SR_INS,722
PAPI_BR_INS,139875996618652
PAPI_RES_STL,0
PAPI_TOT_CYC,139875998160832
PAPI_LST_INS,2
PAPI_L2_DCA,-9223372036854775794
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,139875998158784
PAPI_L3_ICA,3297284724594211584
PAPI_L2_ICR,139875998158560
PAPI_L3_ICR,139875998159040
PAPI_L2_TCA,139875998133888
PAPI_L3_TCA,139875998109336
PAPI_L2_TCR,0
PAPI_L3_TCR,139875998154368
PAPI_L2_TCW,139875998153024
PAPI_L3_TCW,139875996605747
PAPI_SP_OPS,139875998159040
PAPI_DP_OPS,140735075718048
PAPI_VEC_SP,139875998159040
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
