Counter,Value
PAPI_L1_ICM,43247
PAPI_L2_DCM,3984905014
PAPI_L1_DCM,4416249874
PAPI_L2_ICM,33692
PAPI_L1_TCM,4416293121
PAPI_L2_TCM,3984938706
PAPI_L3_TCM,2152205542
PAPI_CA_SNP,1383131107
PAPI_CA_SHR,2211625828
PAPI_CA_CLN,3244
PAPI_CA_ITV,123126799982
PAPI_L3_LDM,3984905014
PAPI_TLB_DM,43247
PAPI_TLB_IM,33692
PAPI_L1_LDM,43247
PAPI_L1_STM,33692
PAPI_L2_LDM,3984938706
PAPI_L2_STM,30500297625
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,139821559476848
PAPI_BR_NTK,139821559478235
PAPI_BR_MSP,139821558662328
PAPI_BR_PRC,139821560074196
PAPI_TOT_INS,140730611299568
PAPI_LD_INS,139821561521776
PAPI_SR_INS,722
PAPI_BR_INS,139821559410588
PAPI_RES_STL,2
PAPI_TOT_CYC,-9223372036854775794
PAPI_LST_INS,0
PAPI_L2_DCA,0
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,139821560950240
PAPI_L2_ICH,139821560950496
PAPI_L2_ICA,139821560950720
PAPI_L3_ICA,-1801400126676792832
PAPI_L2_ICR,139821560950496
PAPI_L3_ICR,139821560950976
PAPI_L2_TCA,139821560925824
PAPI_L3_TCA,139821560901272
PAPI_L2_TCR,0
PAPI_L3_TCR,139821560946304
PAPI_L2_TCW,139821560944960
PAPI_L3_TCW,139821559397683
PAPI_SP_OPS,139821560950976
PAPI_DP_OPS,140730611299568
PAPI_VEC_SP,139821560950976
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
