Counter,Value
PAPI_L1_ICM,32685
PAPI_L2_DCM,2395370316
PAPI_L1_DCM,2074567473
PAPI_L2_ICM,25660
PAPI_L1_TCM,2074600158
PAPI_L2_TCM,2395395976
PAPI_L3_TCM,1266830506
PAPI_CA_SNP,818381529
PAPI_CA_SHR,1342109029
PAPI_CA_CLN,1030
PAPI_CA_ITV,74603894188
PAPI_L3_LDM,2395370316
PAPI_TLB_DM,32685
PAPI_TLB_IM,25660
PAPI_L1_LDM,32685
PAPI_L1_STM,25660
PAPI_L2_LDM,2395395976
PAPI_L2_STM,18907948250
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,139959182972088
PAPI_BR_PRC,139959184383956
PAPI_TOT_INS,140730965599584
PAPI_LD_INS,139959185831536
PAPI_SR_INS,722
PAPI_BR_INS,139959183720348
PAPI_RES_STL,0
PAPI_TOT_CYC,139959185262528
PAPI_LST_INS,2
PAPI_L2_DCA,-9223372036854775794
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,139959185260480
PAPI_L3_ICA,6479042003779968768
PAPI_L2_ICR,139959185260256
PAPI_L3_ICR,139959185260736
PAPI_L2_TCA,139959185235584
PAPI_L3_TCA,139959185211032
PAPI_L2_TCR,0
PAPI_L3_TCR,139959185256064
PAPI_L2_TCW,139959185254720
PAPI_L3_TCW,139959183707443
PAPI_SP_OPS,139959185260736
PAPI_DP_OPS,140730965599584
PAPI_VEC_SP,139959185260736
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
