Counter,Value
PAPI_L1_ICM,21715
PAPI_L2_DCM,1360892307
PAPI_L1_DCM,744181677
PAPI_L2_ICM,16924
PAPI_L1_TCM,744203392
PAPI_L2_TCM,1360909231
PAPI_L3_TCM,594778109
PAPI_CA_SNP,394024960
PAPI_CA_SHR,744729150
PAPI_CA_CLN,1192
PAPI_CA_ITV,40869471814
PAPI_L3_LDM,1360892307
PAPI_TLB_DM,21715
PAPI_TLB_IM,16924
PAPI_L1_LDM,21715
PAPI_L1_STM,16924
PAPI_L2_LDM,1360909231
PAPI_L2_STM,9569760625
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,140069895996016
PAPI_BR_NTK,140069895997403
PAPI_BR_MSP,140069895181496
PAPI_BR_PRC,140069896593364
PAPI_TOT_INS,140726354919536
PAPI_LD_INS,140069898040944
PAPI_SR_INS,722
PAPI_BR_INS,140069895929756
PAPI_RES_STL,2
PAPI_TOT_CYC,-9223372036854775794
PAPI_LST_INS,0
PAPI_L2_DCA,0
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,140069897469408
PAPI_L2_ICH,140069897469664
PAPI_L2_ICA,140069897469888
PAPI_L3_ICA,9048336560954504960
PAPI_L2_ICR,140069897469664
PAPI_L3_ICR,140069897470144
PAPI_L2_TCA,140069897444992
PAPI_L3_TCA,140069897420440
PAPI_L2_TCR,0
PAPI_L3_TCR,140069897465472
PAPI_L2_TCW,140069897464128
PAPI_L3_TCW,140069895916851
PAPI_SP_OPS,140069897470144
PAPI_DP_OPS,140726354919536
PAPI_VEC_SP,140069897470144
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
