Counter,Value
PAPI_L1_ICM,60656
PAPI_L2_DCM,6025741872
PAPI_L1_DCM,6785597237
PAPI_L2_ICM,48934
PAPI_L1_TCM,6785657893
PAPI_L2_TCM,6025790806
PAPI_L3_TCM,3298696029
PAPI_CA_SNP,1961518176
PAPI_CA_SHR,3398064891
PAPI_CA_CLN,6680
PAPI_CA_ITV,189126187166
PAPI_L3_LDM,6025741872
PAPI_TLB_DM,60656
PAPI_TLB_IM,48934
PAPI_L1_LDM,60656
PAPI_L1_STM,48934
PAPI_L2_LDM,6025790806
PAPI_L2_STM,46741562875
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,140063015367280
PAPI_BR_NTK,140063015368667
PAPI_BR_MSP,140063014552760
PAPI_BR_PRC,140063015964628
PAPI_TOT_INS,140726121327280
PAPI_LD_INS,140063017412208
PAPI_SR_INS,722
PAPI_BR_INS,140063015301020
PAPI_RES_STL,2
PAPI_TOT_CYC,-9223372036854775794
PAPI_LST_INS,0
PAPI_L2_DCA,0
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,140063016840672
PAPI_L2_ICH,140063016840928
PAPI_L2_ICA,140063016841152
PAPI_L3_ICA,-7891213608998397440
PAPI_L2_ICR,140063016840928
PAPI_L3_ICR,140063016841408
PAPI_L2_TCA,140063016816256
PAPI_L3_TCA,140063016791704
PAPI_L2_TCR,0
PAPI_L3_TCR,140063016836736
PAPI_L2_TCW,140063016835392
PAPI_L3_TCW,140063015288115
PAPI_SP_OPS,140063016841408
PAPI_DP_OPS,140726121327280
PAPI_VEC_SP,140063016841408
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
