Counter,Value
PAPI_L1_ICM,3644
PAPI_L2_DCM,56848871
PAPI_L1_DCM,27105309
PAPI_L2_ICM,2445
PAPI_L1_TCM,27108953
PAPI_L2_TCM,56851316
PAPI_L3_TCM,103391
PAPI_CA_SNP,5285375
PAPI_CA_SHR,27143504
PAPI_CA_CLN,97
PAPI_CA_ITV,1517100845
PAPI_L3_LDM,56848871
PAPI_TLB_DM,3644
PAPI_TLB_IM,2445
PAPI_L1_LDM,3644
PAPI_L1_STM,2445
PAPI_L2_LDM,56851316
PAPI_L2_STM,243682500
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,0
PAPI_BR_PRC,0
PAPI_TOT_INS,140722748543376
PAPI_LD_INS,139945313277552
PAPI_SR_INS,722
PAPI_BR_INS,139945311166364
PAPI_RES_STL,0
PAPI_TOT_CYC,139945312708544
PAPI_LST_INS,28163103296
PAPI_L2_DCA,139945312661896
PAPI_L3_DCA,2
PAPI_L2_DCR,-9223372036854775794
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,0
PAPI_L3_ICA,0
PAPI_L2_ICR,139945312706272
PAPI_L3_ICR,139945312706752
PAPI_L2_TCA,139945312681600
PAPI_L3_TCA,139945312657048
PAPI_L2_TCR,0
PAPI_L3_TCR,139945312702080
PAPI_L2_TCW,139945312700736
PAPI_L3_TCW,139945311153459
PAPI_SP_OPS,139945312706752
PAPI_DP_OPS,140722748543376
PAPI_VEC_SP,139945312706752
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
