Counter,Value
PAPI_L1_ICM,5345
PAPI_L2_DCM,262689498
PAPI_L1_DCM,125588502
PAPI_L2_ICM,3470
PAPI_L1_TCM,125593847
PAPI_L2_TCM,262692968
PAPI_L3_TCM,3430579
PAPI_CA_SNP,25840442
PAPI_CA_SHR,125728358
PAPI_CA_CLN,173
PAPI_CA_ITV,7014074523
PAPI_L3_LDM,262689498
PAPI_TLB_DM,5345
PAPI_TLB_IM,3470
PAPI_L1_LDM,5345
PAPI_L1_STM,3470
PAPI_L2_LDM,262692968
PAPI_L2_STM,1145856625
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,0
PAPI_BR_NTK,0
PAPI_BR_MSP,0
PAPI_BR_PRC,0
PAPI_TOT_INS,140730162152976
PAPI_LD_INS,140634683778672
PAPI_SR_INS,722
PAPI_BR_INS,140634681667484
PAPI_RES_STL,0
PAPI_TOT_CYC,140634683209664
PAPI_LST_INS,26043869760
PAPI_L2_DCA,140634683163016
PAPI_L3_DCA,2
PAPI_L2_DCR,-9223372036854775794
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,0
PAPI_L2_ICH,0
PAPI_L2_ICA,0
PAPI_L3_ICA,0
PAPI_L2_ICR,140634683207392
PAPI_L3_ICR,140634683207872
PAPI_L2_TCA,140634683182720
PAPI_L3_TCA,140634683158168
PAPI_L2_TCR,0
PAPI_L3_TCR,140634683203200
PAPI_L2_TCW,140634683201856
PAPI_L3_TCW,140634681654579
PAPI_SP_OPS,140634683207872
PAPI_DP_OPS,140730162152976
PAPI_VEC_SP,140634683207872
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
